,name,rating,address,price_level,place,type,subtype,CP,latitude,longitude,geometry,price
108,El Gabinete's Living Room,0.0,"Calle de la Victoria, 9, 7, 28012 Madrid, Spain",2.0,museum,plan,culture,28012,40.4158775,-3.7015551,"{'type': 'Point', 'coordinates': [40.4158775, -3.7015551]}",15-25€
109,Reproduction of the cave of Altamira in the MAN,4.1,"Calle de Serrano, 13, 28001 Madrid, Spain",2.0,museum,plan,culture,28001,40.4232789,-3.6888541,"{'type': 'Point', 'coordinates': [40.4232789, -3.6888541]}",15-25€
110,Arte Canal Exhibition Center,4.5,"Paseo de la Castellana, 214, 28046 Madrid, Spain",2.0,museum,plan,culture,28046,40.4636363,-3.688921199999999,"{'type': 'Point', 'coordinates': [40.4636363, -3.688921199999999]}",15-25€
111,Hall of Realms,4.4,"Calle de Méndez Núñez, 4, 28014 Madrid, Spain",2.0,museum,plan,culture,28014,40.4157888,-3.6903201,"{'type': 'Point', 'coordinates': [40.4157888, -3.6903201]}",15-25€
112,Street Art,0.0,"Travesía del Almendro, 9, 1, 28005 Madrid, Spain",2.0,museum,plan,culture,28005,40.4128908,-3.7085822,"{'type': 'Point', 'coordinates': [40.4128908, -3.7085822]}",15-25€
113,Bonsai Museum,4.4,"Av. Olímpica, S/N, 28100 Alcobendas, Madrid, Spain",2.0,museum,plan,culture,28100,40.536739,-3.630508,"{'type': 'Point', 'coordinates': [40.536739, -3.630508]}",15-25€
114,PASADIZO (ARTE AL CUBO),1.0,"Unnamed Road, 28008, Madrid, Spain",2.0,museum,plan,culture,28008,40.42507519999999,-3.7130081,"{'type': 'Point', 'coordinates': [40.42507519999999, -3.7130081]}",15-25€
115,Edificio antiguo hotel Paris,5.0,"Puerta del Sol, 2, 28014 Madrid, Spain",2.0,museum,plan,culture,28014,40.4169664,-3.702171,"{'type': 'Point', 'coordinates': [40.4169664, -3.702171]}",15-25€
116,Museum Cuatro Vientos,4.7,"Museo, Madrid, Spain",2.0,museum,plan,culture,,40.3660736,-3.8036143,"{'type': 'Point', 'coordinates': [40.3660736, -3.8036143]}",15-25€
117,The Grassy Clock and Watch Museum,4.3,"C/ Gran Vía, 1, 28013 Madrid, Spain",2.0,museum,plan,culture,28013,40.4190679,-3.6977302,"{'type': 'Point', 'coordinates': [40.4190679, -3.6977302]}",15-25€
118,Exposiciones temporales Museo Thyssen,4.0,"Plaza de las Cortes, 3, 28014 Madrid, Spain",2.0,museum,plan,culture,28014,40.4163155,-3.6949585,"{'type': 'Point', 'coordinates': [40.4163155, -3.6949585]}",15-25€
119,Red de San Luis. Madrid,5.0,"Calle de la Montera, 48, 28013 Madrid, Spain",2.0,museum,plan,culture,28013,40.4198367,-3.7013058,"{'type': 'Point', 'coordinates': [40.4198367, -3.7013058]}",15-25€
120,Teatro Infanta Isabel,4.2,"Calle del Barquillo, 24, 28004 Madrid, Spain",,theatre,plan,culture,28004,40.4222474,-3.6955395,"{'type': 'Point', 'coordinates': [40.4222474, -3.6955395]}",More than 50€
121,Teatro Lara,4.4,"Corredera Baja de San Pablo, 15, 28004 Madrid, Spain",,theatre,plan,culture,28004,40.422096,-3.704428,"{'type': 'Point', 'coordinates': [40.422096, -3.704428]}",More than 50€
122,Teatro Amaya,4.2,"Paseo del General Martínez Campos, 9, 28010 Madrid, Spain",,theatre,plan,culture,28010,40.4351273,-3.6970375,"{'type': 'Point', 'coordinates': [40.4351273, -3.6970375]}",More than 50€
123,Fígaro Theater,4.1,"Calle del Dr Cortezo, 5, 28012 Madrid, Spain",,theatre,plan,culture,28012,40.413462,-3.703701,"{'type': 'Point', 'coordinates': [40.413462, -3.703701]}",More than 50€
124,Teatro Rialto,4.4,"C/ Gran Vía, 54, 28013 Madrid, Spain",,theatre,plan,culture,28013,40.421345,-3.707230999999999,"{'type': 'Point', 'coordinates': [40.421345, -3.707230999999999]}",More than 50€
125,Teatro Español,4.6,"Plaza Santa Ana, C. del Príncipe, 25, 28014 Madrid, Spain",,theatre,plan,culture,28014,40.4149459,-3.7001863,"{'type': 'Point', 'coordinates': [40.4149459, -3.7001863]}",More than 50€
126,Teatro Maravillas Madrid,4.2,"C. de Manuela Malasaña, 6, 28004 Madrid, Spain",,theatre,plan,culture,28004,40.4287637,-3.7030711,"{'type': 'Point', 'coordinates': [40.4287637, -3.7030711]}",More than 50€
127,Teatros del Canal,4.5,"Calle de Cea Bermúdez, 1, 28003 Madrid, Spain",,theatre,plan,culture,28003,40.43827900000001,-3.7051836,"{'type': 'Point', 'coordinates': [40.43827900000001, -3.7051836]}",More than 50€
128,Teatro Calderón,4.3,"C. de Atocha, 18, 28012 Madrid, Spain",,theatre,plan,culture,28012,40.4140434,-3.7034966,"{'type': 'Point', 'coordinates': [40.4140434, -3.7034966]}",More than 50€
129,Teatro EDP Gran Vía,4.2,"C/ Gran Vía, 66, 28013 Madrid, Spain",,theatre,plan,culture,28013,40.4224263,-3.7088222,"{'type': 'Point', 'coordinates': [40.4224263, -3.7088222]}",More than 50€
130,Cofidis Alcázar Theater,4.2,"Calle de Alcalá, 20, 28014 Madrid, Spain",,theatre,plan,culture,28014,40.4177414,-3.6990771,"{'type': 'Point', 'coordinates': [40.4177414, -3.6990771]}",More than 50€
131,Teatros Luchana,4.4,"Calle de Luchana, 38, 28010 Madrid, Spain",,theatre,plan,culture,28010,40.4318815,-3.698257399999999,"{'type': 'Point', 'coordinates': [40.4318815, -3.698257399999999]}",More than 50€
132,Teatro Príncipe Gran Vía,4.2,"Calle de las Tres Cruces, 8, 28013 Madrid, Spain",,theatre,plan,culture,28013,40.4194965,-3.7026678,"{'type': 'Point', 'coordinates': [40.4194965, -3.7026678]}",More than 50€
133,Teatro del Barrio,4.6,"Calle de Zurita, 20, 28012 Madrid, Spain",,theatre,plan,culture,28012,40.4096082,-3.6992066,"{'type': 'Point', 'coordinates': [40.4096082, -3.6992066]}",More than 50€
134,Reina Victoria Theater,4.3,"Carrera de S. Jerónimo, 24, 28014 Madrid, Spain",,theatre,plan,culture,28014,40.4164844,-3.699844199999999,"{'type': 'Point', 'coordinates': [40.4164844, -3.699844199999999]}",More than 50€
135,Teatro de la Comedia,4.6,"C. del Príncipe, 14, 28012 Madrid, Spain",,theatre,plan,culture,28012,40.4155336,-3.7003923,"{'type': 'Point', 'coordinates': [40.4155336, -3.7003923]}",More than 50€
136,Teatro María Guerrero,4.6,"Calle de Tamayo y Baus, 4, 28004 Madrid, Spain",,theatre,plan,culture,28004,40.4228892,-3.6929763,"{'type': 'Point', 'coordinates': [40.4228892, -3.6929763]}",More than 50€
137,Teatro Alfil,4.4,"Calle del Pez, 10, 28004 Madrid, Spain",,theatre,plan,culture,28004,40.42318,-3.70452,"{'type': 'Point', 'coordinates': [40.42318, -3.70452]}",More than 50€
138,Teatro Real,4.6,"Plaza de Isabel II, s/n, 28013 Madrid, Spain",,theatre,plan,culture,28013,40.418299,-3.710578,"{'type': 'Point', 'coordinates': [40.418299, -3.710578]}",More than 50€
139,Teatro Coliseum,4.5,"C/ Gran Vía, 78, 28013 Madrid, Spain",,theatre,plan,culture,28013,40.423283,-3.710127,"{'type': 'Point', 'coordinates': [40.423283, -3.710127]}",More than 50€
