,provincia,poblacion,CP,lat,lon
196,Madrid,Manzanares el Real,28470,-3.864.864.850,40.726.098.120
197,Madrid,Manzanares el Real,28492,-3.864.864.850,40.726.098.120
198,Madrid,Meco,28880,-3.329.081.790,40.553.750.830
199,Madrid,Mejorada del Campo,28840,-3.488.470.750,40.396.791.370
200,Madrid,Miraflores de la Sierra,28792,-3.765.397.310,40.813.902.540
201,Madrid,Los Molinos,28460,-4.072.492.460,40.715.212.890
202,Madrid,Montejo de la Sierra,28190,-3.530.033.400,41.059.202.810
203,Madrid,Moraleja de Enmedio,28950,-3.859.655.800,40.259.791.140
204,Madrid,Moralzarzal,28411,-3.972.797.740,40.681.314.120
205,Madrid,Morata de Tajuña,28530,-3.434.061.960,40.228.625.150
206,Madrid,Mostoles,28635,-3.864.888.800,40.323.555.370
207,Madrid,Mostoles,28931,-3.864.888.800,40.323.555.370
208,Madrid,Mostoles,28932,-3.864.888.800,40.323.555.370
209,Madrid,Mostoles,28933,-3.864.888.800,40.323.555.370
210,Madrid,Mostoles,28934,-3.864.888.800,40.323.555.370
211,Madrid,Mostoles,28935,-3.864.888.800,40.323.555.370
212,Madrid,Mostoles,28936,-3.864.888.800,40.323.555.370
213,Madrid,Mostoles,28937,-3.864.888.800,40.323.555.370
214,Madrid,Mostoles,28938,-3.864.888.800,40.323.555.370
215,Madrid,Navacerrada,28491,-4.013.782.590,40.730.904.510
216,Madrid,Navalafuente,28729,-3.673.979.730,40.824.426.340
217,Madrid,Navalagamella,28210,-4.119.933.150,40.468.655.750
218,Madrid,Navalagamella,28212,-4.119.933.150,40.468.655.750
219,Madrid,Navalagamella,28954,-4.119.933.150,40.468.655.750
220,Madrid,Navalcarnero,28600,-4.014.780.840,40.288.472.950
221,Madrid,Navarredonda y San Mames,28739,-3.726.315.120,40.990.825.330
222,Madrid,Navas del Rey,28695,-4.252.279.220,40.382.569.790
223,Madrid,Nuevo Baztan,28514,-3.243.131.280,40.366.148.880
224,Madrid,Olmeda de las Fuentes,28515,-3.221.576.750,40.369.705.410
225,Madrid,Orusco de Tajuña,28570,-3.209.359.020,40.284.266.210
226,Madrid,Paracuellos de Jarama,28860,-3.531.470.480,40.504.918.570
227,Madrid,Paracuellos de Jarama,28861,-3.531.470.480,40.504.918.570
228,Madrid,Paracuellos de Jarama,28862,-3.531.470.480,40.504.918.570
229,Madrid,Parla,28980,-3.770.869.100,40.237.820.830
230,Madrid,Parla,28981,-3.770.869.100,40.237.820.830
231,Madrid,Parla,28982,-3.770.869.100,40.237.820.830
232,Madrid,Parla,28983,-3.770.869.100,40.237.820.830
233,Madrid,Parla,28984,-3.770.869.100,40.237.820.830
234,Madrid,Patones,28189,-3.493.031.960,40.865.490.420
235,Madrid,Pedrezuela,28723,-3.603.346.500,40.745.551.030
236,Madrid,Pelayos de la Presa,28696,-4.336.053.230,40.359.371.430
