,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
120,Escape room - Resolve Solve It,4.6,"Calle de Rafael de Riego, 27, 28045 Madrid, Spain",2.0,escape room,28045,40.4025557,-3.6921549,"{'type': 'Point', 'coordinates': [-3.6921549, 40.4025557]}",15-25€
121,The X-Door Madrid (Centro),4.4,"1, C/ Gran Vía, 16, 28013 Madrid, Spain",2.0,escape room,28013,40.4196696,-3.698907599999999,"{'type': 'Point', 'coordinates': [-3.698907599999999, 40.4196696]}",15-25€
122,Next Door Escape room,4.7,"Calle del Nuncio, 11, Bajo, 28005 Madrid, Spain",2.0,escape room,28005,40.4133436,-3.7092143,"{'type': 'Point', 'coordinates': [-3.7092143, 40.4133436]}",1-15€
123,Los Escapistas Madrid,4.5,"Calle San Leopoldo, 27, 28029 Madrid, Spain",2.0,escape room,28029,40.4697709,-3.6920309,"{'type': 'Point', 'coordinates': [-3.6920309, 40.4697709]}",15-25€
124,The big escape,4.8,"Calle del Amparo, 32, 28012 Madrid, Spain",2.0,escape room,28012,40.4094107,-3.7029556,"{'type': 'Point', 'coordinates': [-3.7029556, 40.4094107]}",15-25€
125,Zig Zag Escape Room,4.9,"Calle de la Parra, 41, 28025 Madrid, Spain",2.0,escape room,28025,40.3872095,-3.7315664,"{'type': 'Point', 'coordinates': [-3.7315664, 40.3872095]}",15-25€
126,Experiencia Escape Room,4.7,"Calle Ramón Sainz, 34, 28025 Madrid, Spain",2.0,escape room,28025,40.3882629,-3.7388171,"{'type': 'Point', 'coordinates': [-3.7388171, 40.3882629]}",15-25€
127,Locktopus Escape Game,5.0,"Calle de la Batalla del Salado, 2, 28045 Madrid, Spain",2.0,escape room,28045,40.4040562,-3.6959027,"{'type': 'Point', 'coordinates': [-3.6959027, 40.4040562]}",1-15€
128,The SafeKey Escape Room Madrid,5.0,"Calle Fernando Chueca Goitia, 52, local, 28051 Madrid, Spain",2.0,escape room,28051,40.3622123,-3.5933935,"{'type': 'Point', 'coordinates': [-3.5933935, 40.3622123]}",15-25€
129,CSI MadRoom - Escape room madrid,4.4,"Calle del Espíritu Santo, 23, 28004 Madrid, Spain",2.0,escape room,28004,40.4254227,-3.7046687,"{'type': 'Point', 'coordinates': [-3.7046687, 40.4254227]}",1-15€
130,Rubikon Escape Room,5.0,"Cuesta de San Vicente, 22, 28008 Madrid, Spain",2.0,escape room,28008,40.4206855,-3.7153238,"{'type': 'Point', 'coordinates': [-3.7153238, 40.4206855]}",1-15€
131,The Riddle Society - Escape Room,4.3,"Calle Esteban de Arteaga, 5, 28019 Madrid, Spain",2.0,escape room,28019,40.3952833,-3.7093212,"{'type': 'Point', 'coordinates': [-3.7093212, 40.3952833]}",1-15€
132,BrainBreak,4.7,"Calle de la Encomienda, 12, 28012 Madrid, Spain",2.0,escape room,28012,40.410807,-3.7057265,"{'type': 'Point', 'coordinates': [-3.7057265, 40.410807]}",15-25€
133,Escape The City Madrid,4.6,"Calle del Duque de Alba, 15, 1º, 28012 Madrid, Spain",2.0,escape room,28012,40.4115343,-3.7066662,"{'type': 'Point', 'coordinates': [-3.7066662, 40.4115343]}",1-15€
134,TRIVIUS Escape Room Madrid,0.0,"Calle Germán Pérez Carrasco, 78, Local Izquierda, 28027 Madrid, Spain",2.0,escape room,28027,40.4371507,-3.641432099999999,"{'type': 'Point', 'coordinates': [-3.641432099999999, 40.4371507]}",1-15€
135,INTUITION ESCAPE ROOM,4.9,"Calle Luis Piernas, 14, 28017 Madrid, Spain",2.0,escape room,28017,40.42568139999999,-3.6543717,"{'type': 'Point', 'coordinates': [-3.6543717, 40.42568139999999]}",15-25€
136,Aventurico,4.6,"Calle Alejandro González, 3, 28028 Madrid, Spain",2.0,escape room,28028,40.4300792,-3.6635114,"{'type': 'Point', 'coordinates': [-3.6635114, 40.4300792]}",15-25€
137,Golden Celebraciones,4.9,"Paseo de las Yeserías, 63, 28005 Madrid, Spain",2.0,escape room,28005,40.3971772,-3.7044319,"{'type': 'Point', 'coordinates': [-3.7044319, 40.3971772]}",1-15€
138,Escape Room Instinto,5.0,"C/ Gran Vía, 28, 28013 Madrid, Spain",2.0,escape room,28013,40.4201773,-3.7017126,"{'type': 'Point', 'coordinates': [-3.7017126, 40.4201773]}",15-25€
139,Dale al Coco 2 Room Escape,3.0,"Calle de la Magdalena, 11, 28012 Madrid, Spain",2.0,escape room,28012,40.4124139,-3.7020164,"{'type': 'Point', 'coordinates': [-3.7020164, 40.4124139]}",1-15€
140,Pista de Hielo Madrid,4.1,"Calle de Silvano, 77, 28043 Madrid, Spain",,skating,28043,40.4630082,-3.6378945,"{'type': 'Point', 'coordinates': [-3.6378945, 40.4630082]}",1-15€
141,Pista Patinaje,4.1,"Plaza Puerto Rubio, 16, 28053 Madrid, Spain",,skating,28053,40.3963014,-3.6672014,"{'type': 'Point', 'coordinates': [-3.6672014, 40.3963014]}",15-25€
142,Pista de Hielo Matadero,2.9,"28045 Madrid, Spain",,skating,28045,40.391165,-3.6976585,"{'type': 'Point', 'coordinates': [-3.6976585, 40.391165]}",1-15€
143,Ice Pavilion Leganes,4.2,"Av. de Alemania, 2, 28916 Leganés, Madrid, Spain",,skating,28916,40.3327331,-3.744467,"{'type': 'Point', 'coordinates': [-3.744467, 40.3327331]}",15-25€
144,Pista de patinaje Madrid Rio,4.5,"Autopista de Circunvalación M-30, 28045 Madrid, Spain",,skating,28045,40.3943447,-3.7014028,"{'type': 'Point', 'coordinates': [-3.7014028, 40.3943447]}",1-15€
145,Roller Center Madrid,4.1,"Cl. de la Hacienda de Pavones, 196, Primera Planta, 28030 Madrid, Spain",,skating,28030,40.4017318,-3.6407718,"{'type': 'Point', 'coordinates': [-3.6407718, 40.4017318]}",1-15€
146,Pista de Patinaje - rollermania,4.4,"Calle Sinesio Delgado, 20, 28035 Madrid, Spain",,skating,28035,40.4642839,-3.7202755,"{'type': 'Point', 'coordinates': [-3.7202755, 40.4642839]}",1-15€
147,Pista de Patinaje,3.7,"28043 Madrid, Spain",,skating,28043,40.4649384,-3.6367566,"{'type': 'Point', 'coordinates': [-3.6367566, 40.4649384]}",1-15€
148,Patinaje JCI,4.0,"28042 Madrid, Spain",,skating,28042,40.4650353,-3.6091841,"{'type': 'Point', 'coordinates': [-3.6091841, 40.4650353]}",15-25€
149,Pista De Patinaje,3.6,"Calle Alar del Rey, 35, 28042 Madrid, Spain",,skating,28042,40.4734261,-3.584136,"{'type': 'Point', 'coordinates': [-3.584136, 40.4734261]}",15-25€
150,Ice Rink Factory,0.0,"Calle de José Ortega y Gasset, 28006 Madrid, Spain",,skating,28006,40.4301418,-3.6802139,"{'type': 'Point', 'coordinates': [-3.6802139, 40.4301418]}",15-25€
151,Palacio de Hielo,4.1,"Calle de Silvano, 77, 28043 Madrid, Spain",,skating,28043,40.4631976,-3.6373448,"{'type': 'Point', 'coordinates': [-3.6373448, 40.4631976]}",1-15€
152,Pista de patinaje/zona multiusos del Centro Comercial La Vaguada,0.0,"C.C La Vaguada, Av. de Monforte de Lemos, S/N, 28029 Madrid, Spain",,skating,28029,40.4800858,-3.7061872,"{'type': 'Point', 'coordinates': [-3.7061872, 40.4800858]}",1-15€
153,Rollermaniacos - Pista de Patinaje Pública,4.5,"28029 Madrid, Spain",,skating,28029,40.470699,-3.7051826,"{'type': 'Point', 'coordinates': [-3.7051826, 40.470699]}",1-15€
154,Madrid Skating School,5.0,"Calle de Santa Isabel, 9, 28012 Madrid, Spain",,skating,28012,40.4110261,-3.6983671,"{'type': 'Point', 'coordinates': [-3.6983671, 40.4110261]}",15-25€
155,Roller skating rink,3.7,"28032 Madrid, Spain",,skating,28032,40.3999785,-3.6088801,"{'type': 'Point', 'coordinates': [-3.6088801, 40.3999785]}",1-15€
156,Pista Patinaje Municipal,4.2,"Av. de Niza, 4, 28022 Madrid, Spain",,skating,28022,40.4289101,-3.606638,"{'type': 'Point', 'coordinates': [-3.606638, 40.4289101]}",1-15€
157,pista de patinaje,4.6,"Calle de Cañada del Santísimo, 3, 28051 Madrid, Spain",,skating,28051,40.3688851,-3.5948593,"{'type': 'Point', 'coordinates': [-3.5948593, 40.3688851]}",1-15€
158,Pista de patinaje,4.7,"Alcorcón, Madrid, Spain",,skating,,40.3574308,-3.8134927,"{'type': 'Point', 'coordinates': [-3.8134927, 40.3574308]}",15-25€
159,Pista de patinaje,4.0,"28903 Getafe, Madrid, Spain",,skating,28903,40.3216863,-3.7150997,"{'type': 'Point', 'coordinates': [-3.7150997, 40.3216863]}",15-25€
160,Carlos Sainz Karting Madrid,4.3,"Calle Sepúlveda, 3, 28011 Madrid, Spain",3.0,karts,28011,40.4065776,-3.7270776,"{'type': 'Point', 'coordinates': [-3.7270776, 40.4065776]}",15-25€
161,Karting Club Paracuellos,4.5,"Calle de la Ronda de la Fuente, 2850K, 28860 Paracuellos de Jarama, Madrid, Spain",3.0,karts,28860,40.5250968,-3.5460779,"{'type': 'Point', 'coordinates': [-3.5460779, 40.5250968]}",1-15€
162,Karting Rivas,4.5,"Calle de la Fundición, 89, 28522 Rivas-Vaciamadrid, Madrid, Spain",3.0,karts,28522,40.3471298,-3.5353365,"{'type': 'Point', 'coordinates': [-3.5353365, 40.3471298]}",15-25€
163,Icekart karting madrid,0.0,"Calle de Silvano, 77, 28043 Madrid, Spain",3.0,karts,28043,40.4632213,-3.6370595,"{'type': 'Point', 'coordinates': [-3.6370595, 40.4632213]}",15-25€
164,Carlos Sainz Center Las Rozas,4.3,"Parque Empresarial Európolis, Calle Bruselas, 3, 28232 Las Rozas de Madrid, Madrid, Spain",3.0,karts,28232,40.5007582,-3.8940375,"{'type': 'Point', 'coordinates': [-3.8940375, 40.5007582]}",1-15€
165,Outdoor Karting Formula Zero,4.3,"Calle Verano, 4A, 28914 Leganés, Madrid, Spain",3.0,karts,28914,40.3000642,-3.773593099999999,"{'type': 'Point', 'coordinates': [-3.773593099999999, 40.3000642]}",1-15€
166,Jarama Karting,4.4,"Paseo del Circuito, 28707 Ciudalcampo, Madrid, Spain",3.0,karts,28707,40.613604,-3.583227,"{'type': 'Point', 'coordinates': [-3.583227, 40.613604]}",1-15€
167,"Henakart, karts madrid",4.6,"km 3,600 Carretera de Torrejon a Loeches, 28830, Madrid, Spain",3.0,karts,28830,40.4277338,-3.444291,"{'type': 'Point', 'coordinates': [-3.444291, 40.4277338]}",15-25€
168,Karting Asupark,4.0,"Ctra. de Móstoles a Villaviciosa, 0, 28670 Villaviciosa de Odón, Madrid, Spain",3.0,karts,28670,40.3920774,-3.90209,"{'type': 'Point', 'coordinates': [-3.90209, 40.3920774]}",15-25€
169,Kids Área Somontes,4.6,"Complejo Deportivo Somontes, Carr Madrid-El Pardo, Km 3, 4, 28035 Madrid, Spain",3.0,karts,28035,40.49044689999999,-3.7560045,"{'type': 'Point', 'coordinates': [-3.7560045, 40.49044689999999]}",15-25€
170,Karting Madrid Angel Burgueño,4.6,"Vía de Servicio A-1, salida 47, 28723 Pedrezuela, Madrid, Spain",3.0,karts,28723,40.7561648,-3.5999868,"{'type': 'Point', 'coordinates': [-3.5999868, 40.7561648]}",1-15€
171,Mini Quad,0.0,"Paseo de los Cipreses, 764, 28850 Torrejón de Ardoz, Madrid, Spain",3.0,karts,28850,40.4474068,-3.4533682,"{'type': 'Point', 'coordinates': [-3.4533682, 40.4474068]}",1-15€
172,Karting,0.0,"Calle Sepúlveda, 3, 28011 Madrid, Spain",3.0,karts,28011,40.4067582,-3.7266508,"{'type': 'Point', 'coordinates': [-3.7266508, 40.4067582]}",1-15€
173,Karting,0.0,"M-206, 28830 San Fernando de Henares, Madrid, Spain",3.0,karts,28830,40.4292048,-3.4442786,"{'type': 'Point', 'coordinates': [-3.4442786, 40.4292048]}",15-25€
