,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
111,Cervecería Oldenburg,4.4,"Calle de Hartzenbusch, 12, 28010 Madrid, Spain",2.0,pub,28010,40.4303861,-3.7016639,"{'type': 'Point', 'coordinates': [40.4303861, -3.7016639]}",1-15€
112,Freeway,4.1,"Calle de San Vicente Ferrer, 7, 28004 Madrid, Spain",2.0,pub,28004,40.425471,-3.701964,"{'type': 'Point', 'coordinates': [40.425471, -3.701964]}",1-15€
113,Cafe Pub GARDEN,4.2,"Calle de Vallehermoso, 15, 28015 Madrid, Spain",2.0,pub,28015,40.4313125,-3.7090828,"{'type': 'Point', 'coordinates': [40.4313125, -3.7090828]}",15-25€
114,Clubbers Tour,2.9,"Calle de la Cruz, 33, 28012 Madrid, Spain",2.0,pub,28012,40.4157732,-3.7038293,"{'type': 'Point', 'coordinates': [40.4157732, -3.7038293]}",1-15€
115,Planet Club,4.6,"C. del Príncipe, 20, 28012 Madrid, Spain",2.0,pub,28012,40.4152145,-3.7005493,"{'type': 'Point', 'coordinates': [40.4152145, -3.7005493]}",1-15€
116,ChiriKa Lounge Madrid,4.2,"Calle de Sta. Teresa, 14, 28004 Madrid, Spain",1.0,pub,28004,40.4253412,-3.695319399999999,"{'type': 'Point', 'coordinates': [40.4253412, -3.695319399999999]}",1-15€
117,Pub Prada,4.5,"Calle de la Ballesta, 26, 28004 Madrid, Spain",1.0,pub,28004,40.4224961,-3.7032089,"{'type': 'Point', 'coordinates': [40.4224961, -3.7032089]}",1-15€
118,Il Mondo,4.2,"Calle de Claudio Coello, 114, 28006 Madrid, Spain",1.0,pub,28006,40.435958,-3.685202,"{'type': 'Point', 'coordinates': [40.435958, -3.685202]}",1-15€
119,Hopper,4.3,"Calle de la Cava Baja, 40, 28005 Madrid, Spain",2.0,pub,28005,40.4119537,-3.7102615,"{'type': 'Point', 'coordinates': [40.4119537, -3.7102615]}",1-15€
120,Commo,3.7,"Calle de Espoz y Mina, 22, 28012 Madrid, Spain",2.0,nightlife,28012,40.41526229999999,-3.702391,"{'type': 'Point', 'coordinates': [40.41526229999999, -3.702391]}",15-25€
121,Planet Club,4.6,"C. del Príncipe, 20, 28012 Madrid, Spain",2.0,nightlife,28012,40.4152145,-3.7005493,"{'type': 'Point', 'coordinates': [40.4152145, -3.7005493]}",15-25€
122,Nightlife Madrid,4.8,"Cl. de Ayala, 27, 28001 Madrid, Spain",2.0,nightlife,28001,40.4278501,-3.6845998,"{'type': 'Point', 'coordinates': [40.4278501, -3.6845998]}",1-15€
123,Cibeles Night Club,3.7,"Calle de las Hileras, 17, 28013 Madrid, Spain",1.0,nightlife,28013,40.4179793,-3.7075008,"{'type': 'Point', 'coordinates': [40.4179793, -3.7075008]}",15-25€
124,ThunderCat Club,3.9,"Calle de Campoamor, 11, 28004 Madrid, Spain",2.0,nightlife,28004,40.426252,-3.695741899999999,"{'type': 'Point', 'coordinates': [40.426252, -3.695741899999999]}",15-25€
125,moondance madrid,3.5,"Calle de la Aduana, 21, 28012 679013092, Madrid, Spain",1.0,nightlife,28012,40.418402,-3.701058,"{'type': 'Point', 'coordinates': [40.418402, -3.701058]}",15-25€
126,Enbabia Infused,4.6,"Calle de Núñez de Arce, 9, 28012 Madrid, Spain",2.0,nightlife,28012,40.4154748,-3.7012258,"{'type': 'Point', 'coordinates': [40.4154748, -3.7012258]}",15-25€
127,Goya Social Club,3.6,"Calle de Goya, 43, 28001 Madrid, Spain",2.0,nightlife,28001,40.425301,-3.682990999999999,"{'type': 'Point', 'coordinates': [40.425301, -3.682990999999999]}",1-15€
128,Eleven Club Madrid,3.7,"Calle de Echegaray, 11, 28014 Madrid, Spain",2.0,nightlife,28014,40.41562649999999,-3.6995514,"{'type': 'Point', 'coordinates': [40.41562649999999, -3.6995514]}",15-25€
